link,name,judge
http://vn.spoj.com/problems/BIGNUM/,X&#7917; lý s&#7889; nguy&#234;n l&#7899;n,SPOJ Vietnam
http://www.spoj.com/problems/JULKA/,Julka,SPOJ
http://www.spoj.com/problems/FCTRL2/,Small factorials,SPOJ
http://www.spoj.com/problems/MINNUM/,Minimum Number,SPOJ
http://www.spoj.com/problems/MUL2COM/,Binary multiplication,SPOJ
http://www.spoj.com/problems/REC/,Recurrence,SPOJ
